round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_val_macro_precision,std_val_macro_precision,mean_val_macro_recall,std_val_macro_recall,mean_val_macro_f1,std_val_macro_f1,mean_global_test_macro_precision,std_global_test_macro_precision,mean_global_test_macro_recall,std_global_test_macro_recall,mean_global_test_macro_f1,std_global_test_macro_f1,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
53,0.930778,0.006021,0.926521,0.935036,0.28515,2,0.904193,0.002565,0.879934,0.016011,0.812111,0.014762,0.830623,0.006758,0.870448,0.003387,0.794828,0.009408,0.814396,0.006073,114.0043,91.8149,0.0785
54,0.931422,0.006076,0.927125,0.935718,0.283167,2,0.905465,0.001554,0.890024,0.007578,0.817357,0.006952,0.836216,0.004995,0.869311,0.001838,0.800034,0.000468,0.819902,0.000488,113.0262,86.5865,0.0808
55,0.929531,0.00314,0.927311,0.931751,0.288347,2,0.903994,0.00257,0.878237,0.001788,0.812408,0.002591,0.82949,0.003541,0.870501,0.000467,0.796696,0.011599,0.816086,0.007263,112.0658,100.2737,0.0739
56,0.930283,0.006897,0.925406,0.93516,0.30977,2,0.904409,0.000283,0.869384,0.001522,0.822421,0.00353,0.837039,0.002921,0.867406,0.000823,0.80872,0.005658,0.823898,0.002765,113.6222,97.0934,0.1356
57,0.931723,0.005124,0.9281,0.935346,0.293204,2,0.905594,0.000506,0.875641,0.00976,0.819994,0.003429,0.835133,0.000455,0.871037,0.000199,0.806146,0.004708,0.821787,0.003854,113.8107,83.9094,0.056
58,0.89983,0.051455,0.863446,0.936214,0.511378,2,0.867757,0.044768,0.867985,0.029246,0.807901,0.04072,0.813962,0.04843,0.840626,0.026679,0.791254,0.033806,0.792625,0.043665,115.872,92.6595,0.0687
59,0.932374,0.00762,0.926986,0.937763,0.302834,2,0.906478,0.0001,0.885761,0.012893,0.824273,0.013135,0.840701,0.010674,0.86686,0.003623,0.812375,0.000798,0.826948,0.000199,113.499,98.2859,0.0784
60,0.930824,0.005167,0.927171,0.934478,0.314041,2,0.901347,0.003248,0.885701,0.001845,0.821523,0.010198,0.837237,0.006545,0.867425,0.00661,0.805779,0.00076,0.820037,0.002059,115.9593,88.5324,0.0751
61,0.933326,0.006274,0.92889,0.937763,0.296291,2,0.90583,0.000539,0.886268,0.001463,0.82715,0.010406,0.842193,0.00671,0.869071,0.005385,0.81038,0.002172,0.825291,0.000447,115.77,95.1444,0.0828
62,0.933078,0.005399,0.929261,0.936896,0.289246,2,0.905571,0.000516,0.877903,0.000743,0.826686,0.000633,0.841727,0.000257,0.870051,0.005236,0.808804,0.004361,0.824155,0.00225,113.2394,90.5053,0.0638
63,0.921599,0.023648,0.904877,0.938321,0.389124,2,0.892448,0.01932,0.877817,0.020311,0.819608,0.021655,0.830714,0.024873,0.854685,0.019445,0.80153,0.014371,0.810611,0.021854,115.7265,91.6182,0.0711
